id;slug;titre;categorie;type;lieu;recompense_fcfa;net_internaute_fcfa;cout_entreprise_fcfa;places;budget_total_entreprise_fcfa;duree_estimee_min;delai_heures;preuve_demandee;description
1;partager-pubafric-statut-whatsapp;Partager PubAfric en statut WhatsApp;Réseaux sociaux;en_ligne;En ligne (toute la Côte d'Ivoire);200;180;230;50;11500;10;48;Capture d'écran du statut avec le nombre de vues visible.;Faites connaître PubAfric à vos contacts en publiant notre visuel en statut WhatsApp pendant 24 h.
2;rejoindre-chaine-whatsapp-pubafric;Rejoindre la chaîne WhatsApp PubAfric;Réseaux sociaux;en_ligne;En ligne (toute la Côte d'Ivoire);100;90;115;100;11500;3;48;Capture d'écran de la chaîne avec le bouton « Suivi ».;Suivez la chaîne officielle PubAfric pour recevoir en premier les nouvelles missions.
3;aimer-page-facebook-pubafric;S'abonner à la page Facebook PubAfric et aimer 3 publications;Réseaux sociaux;en_ligne;En ligne (toute la Côte d'Ivoire);150;135;175;100;17500;4;48;2 captures d'écran (abonnement + publications aimées).;Aidez la page PubAfric à grandir : abonnement et 3 mentions « J'aime ».
4;tester-site-pubafric-10-questions;Tester le site PubAfric et répondre à 10 questions;Avis et tests;en_ligne;En ligne (toute la Côte d'Ivoire);500;450;575;30;17250;15;72;Réponses complètes aux 10 questions dans le compte-rendu.;Parcourez PubAfric comme un vrai utilisateur et dites-nous ce qui est clair ou compliqué.
5;sondage-paiement-mobile-money;Sondage : vos habitudes de paiement Mobile Money;Sondage;en_ligne;En ligne (toute la Côte d'Ivoire);300;270;345;100;34500;5;72;Code de confirmation du sondage.;Répondez à un court sondage sur l'usage d'Orange Money, MTN MoMo, Wave et Moov Money.
6;filmer-marche-quartier-abidjan;Filmer 20 secondes de la vie d'un marché ou d'un quartier d'Abidjan;Terrain;terrain;Abidjan (Cocody, Yopougon, Marcory, Treichville, Abobo…);1000;900;1150;20;23000;30;72;Fichier vidéo (horizontal, 20 s min.) + nom du lieu.;PubAfric constitue sa bibliothèque d'images locales. Filmez une scène de rue authentique.
7;photographier-5-enseignes-quartier;Photographier 5 enseignes ou affiches de commerces de votre quartier;Terrain;terrain;Abidjan, Bouaké, Yamoussoukro, San-Pédro, Daloa;1500;1350;1725;15;25875;45;72;5 photos nettes + liste (nom du commerce, quartier).;Repérage local : prenez en photo 5 commerces différents avec leur enseigne bien lisible.
8;distribuer-50-flyers;Distribuer 50 flyers dans un lieu très fréquenté;Terrain;terrain;Abidjan (Plateau, Cocody, Marcory, Yopougon), Bouaké;3000;2700;3450;10;34500;120;72;3 photos + heure et lieu de distribution.;Distribuez des flyers de l'entreprise partenaire à des passants intéressés.
9;porter-vetement-publicitaire;Porter un vêtement publicitaire pendant 2 heures;Terrain;terrain;Abidjan, Bouaké, Yamoussoukro;3500;3150;4025;10;40250;120;72;3 photos horodatées, lieu et heure de début/fin.;Portez le t-shirt de la marque fourni et faites-vous voir dans un lieu passant.
10;trouver-nom-slogan-marque;Proposer 5 idées de noms ou de slogans pour une marque;Création;en_ligne;En ligne (toute la Côte d'Ivoire);500;450;575;30;17250;25;72;Liste de 5 idées avec une phrase d'explication chacune.;Une jeune entreprise ivoirienne cherche un nom accrocheur. Proposez vos meilleures idées.
11;releve-prix-5-produits-boutique;Relever le prix de 5 produits dans une boutique ou au marché;Terrain;terrain;Abidjan, Bouaké, Yamoussoukro, San-Pédro, Daloa;1000;900;1150;25;28750;40;72;5 photos + tableau produit / prix / lieu.;Enquête de prix : notez le prix de 5 produits de grande consommation dans un point de vente.
12;tester-application-mobile-avis;Tester une application mobile 10 minutes et donner votre avis;Avis et tests;en_ligne;En ligne (toute la Côte d'Ivoire);700;630;805;20;16100;20;72;Questionnaire rempli + 2 captures d'écran.;Une application ivoirienne veut savoir si elle est simple à utiliser. Testez-la et notez-la.
13;mystere-visite-point-de-vente;Client mystère : noter l'accueil d'un point de vente;Terrain;terrain;Abidjan, Bouaké, Yamoussoukro;2500;2250;2875;10;28750;30;72;Grille d'évaluation complétée + ticket ou preuve de visite si possible.;Visitez un commerce comme un client normal et évaluez l'accueil et la propreté.
14;relire-texte-300-mots;Relire un texte de 300 mots et signaler les fautes;Création;en_ligne;En ligne (toute la Côte d'Ivoire);800;720;920;20;18400;20;48;Liste des fautes + texte corrigé.;Relecture en français : orthographe, grammaire et ponctuation d'un texte publicitaire court.
15;saisir-20-fiches-produits;Saisir 20 fiches produits (copier-coller);Saisie;en_ligne;En ligne (toute la Côte d'Ivoire);1000;900;1150;20;23000;45;72;Tableau complété (20 lignes).;Recopiez dans un tableau les informations de 20 produits à partir de photos d'étiquettes.
